,age_years,bmi,waist_cm,sbp_avg,dbp_avg,pulse_pressure,total_chol,hdl,ldl,triglycerides,fasting_glucose,hba1c,chol_hdl_ratio,met_syn_score
age_years,1.0,0.3872670559954231,0.5688207905300295,0.5145418333638326,0.2879167656370727,0.4482225969777021,0.21523659844954157,0.1065379135774518,0.0723179056268893,0.1442070675403094,0.22843315329824704,0.2960230965119117,0.08375162463680881,0.47643949181176004
bmi,0.3872670559954231,1.0,0.9252253276054021,0.18716501099635607,0.34285572948583776,-0.040650406162907805,0.09396255417664116,-0.24815610399750387,0.06400428227393502,0.1584468657432404,0.17624828164070586,0.21907212784104638,0.2754902853459546,0.5485143773365563
waist_cm,0.5688207905300295,0.9252253276054021,1.0,0.28525363663109043,0.3904818949871301,0.05162479883910346,0.13334826287194135,-0.2818376209278105,0.06432637603527828,0.24562949260285896,0.25070423578438333,0.27545341960902986,0.3413292271574472,0.6513011143568253
sbp_avg,0.5145418333638326,0.18716501099635607,0.28525363663109043,1.0,0.6735498431910204,0.7749685180096552,0.1557459243111469,0.0484943390267817,0.04941075171729607,0.11725296436898891,0.16853422332725165,0.18542099709791987,0.09277553149177815,0.4633934883508795
dbp_avg,0.2879167656370727,0.34285572948583776,0.3904818949871301,0.6735498431910204,1.0,0.05484242190179056,0.2665631491482241,-0.01786558117528754,0.21164742889355212,0.16796001322130877,0.0954043400047249,0.11101558742012747,0.2353959422743552,0.43421690088465403
pulse_pressure,0.4482225969777021,-0.040650406162907805,0.05162479883910346,0.7749685180096552,0.05484242190179056,1.0,-0.017998900811786293,0.08014437995745333,-0.1063183057331516,0.015670599973289078,0.14002576407667341,0.15134390442768664,-0.07570466657490528,0.25507435219204455
total_chol,0.21523659844954157,0.09396255417664116,0.13334826287194135,0.1557459243111469,0.2665631491482241,-0.017998900811786293,1.0,0.27109111536660785,0.939144598902529,0.30180049322024305,-0.00026615616845662894,0.020610507376227674,0.5801547826221917,0.11585080398340167
hdl,0.1065379135774518,-0.24815610399750387,-0.2818376209278105,0.0484943390267817,-0.01786558117528754,0.08014437995745333,0.27109111536660785,1.0,0.09851018767091134,-0.34536947338378415,-0.17911440265912987,-0.1558725086163561,-0.5771356038363168,-0.3222630127105768
ldl,0.0723179056268893,0.06400428227393502,0.06432637603527828,0.04941075171729607,0.21164742889355212,-0.1063183057331516,0.939144598902529,0.09851018767091134,1.0,0.13488494408266719,-0.06393240284430275,-0.05076890103022553,0.6667003578455499,0.04662051019979879
triglycerides,0.1442070675403094,0.1584468657432404,0.24562949260285896,0.11725296436898891,0.16796001322130877,0.015670599973289078,0.30180049322024305,-0.34536947338378415,0.13488494408266719,1.0,0.3203266257732071,0.30265137142222587,0.6252029574780347,0.5220230233887573
fasting_glucose,0.22843315329824704,0.17624828164070586,0.25070423578438333,0.16853422332725165,0.0954043400047249,0.14002576407667341,-0.00026615616845662894,-0.17911440265912987,-0.06393240284430275,0.3203266257732071,1.0,0.8158651514989813,0.18123949606753884,0.4220967262587134
hba1c,0.2960230965119117,0.21907212784104638,0.27545341960902986,0.18542099709791987,0.11101558742012747,0.15134390442768664,0.020610507376227674,-0.1558725086163561,-0.05076890103022553,0.30265137142222587,0.8158651514989813,1.0,0.16777180281952178,0.3171376226561409
chol_hdl_ratio,0.08375162463680881,0.2754902853459546,0.3413292271574472,0.09277553149177815,0.2353959422743552,-0.07570466657490528,0.5801547826221917,-0.5771356038363168,0.6667003578455499,0.6252029574780347,0.18123949606753884,0.16777180281952178,1.0,0.4090403962837647
met_syn_score,0.47643949181176004,0.5485143773365563,0.6513011143568253,0.4633934883508795,0.43421690088465403,0.25507435219204455,0.11585080398340167,-0.3222630127105768,0.04662051019979879,0.5220230233887573,0.4220967262587134,0.3171376226561409,0.4090403962837647,1.0
