,missing_pct
smoke_now_code,0.7282326321964301
ldl,0.7151596413307634
triglycerides,0.7106343752618788
fasting_glucose,0.7039302773820498
moderate_activity_code,0.6922819073158468
alcohol_days_per_year,0.6632028827620883
drank_12plus_life_code,0.6616106595156289
vigorous_activity_code,0.466353808765608
hba1c,0.4397050196932875
chol_hdl_ratio,0.42621302271013156
hdl,0.4256264141456465
total_chol,0.4231961786642085
pulse_avg,0.3705690103075505
pulse_pressure,0.37040140786055475
sbp_avg,0.37023380541355905
dbp_avg,0.37015000419006117
education_code,0.34777507751613174
cvd,0.34576384815218303
smoked_100_life_code,0.319450263973854
waist_cm,0.3176904382803989
bmi,0.29011983574960193
hypertension_told_code,0.28877901617363616
met_syn_score,0.2847565574457387
income_poverty_ratio,0.1710382971591385
race_ethnicity_code,0.07944355987597419
age_years,0.042822425207408026
diabetes_told_code,0.016508841029079024
sex_code,0.0
SEQN,0.0
