model,feature_set,n_features,best_params,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,brier_mean,brier_std,fit_seconds
LogReg,A,80,{'C': 0.01},0.8242767825370804,0.009680367076051603,0.381257990045592,0.02556832409882173,0.413181432827909,0.013822315394989548,0.17802048561308936,0.004333587934524406,6.4
RandomForest,A,80,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'n_estimators': 720}",0.8153786458599545,0.011279111940155696,0.35648026853241566,0.02929518260996272,0.4192483137259052,0.013877328039123468,0.13148692222978747,0.0023927598179964873,40.6
XGBoost,A,80,"{'colsample_bytree': 0.85, 'learning_rate': 0.01699897838270077, 'max_depth': 5, 'n_estimators': 658, 'reg_lambda': 5.3994844097874335, 'subsample': 1.0}",0.8117024729718038,0.007624182891281383,0.3560046468170389,0.022124129372233244,0.41138986211316064,0.013455528684873009,0.14386011958122252,0.002003885133180452,14.1
CatBoost,A,80,"{'depth': 6, 'iterations': 400, 'l2_leaf_reg': 4.050837781329674, 'learning_rate': 0.0178601378893971}",0.8240174549452771,0.008894247479920377,0.3772032895965125,0.027527438983081187,0.4254497614026643,0.013289717101308468,0.15724009743566342,0.0026411735309867083,97.7
LogReg,B,79,{'C': 0.01},0.8225124464932969,0.007902110646278356,0.3796566289495903,0.020170958397498988,0.4095840342777038,0.006719513241673939,0.17885254890044522,0.0042942788324091255,2.3
RandomForest,B,79,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'n_estimators': 720}",0.8132467291136123,0.010425709795705758,0.35333605471979324,0.024241783400911366,0.4182937584004415,0.011581892896841358,0.13208570738282124,0.0023427358196651082,39.9
XGBoost,B,79,"{'colsample_bytree': 0.85, 'learning_rate': 0.05362853964441846, 'max_depth': 3, 'n_estimators': 406, 'reg_lambda': 0.7162786999897341, 'subsample': 0.85}",0.8085869002646755,0.010026693259377205,0.3604060198684462,0.02199978238218704,0.41829939379322545,0.018623898276403206,0.15144410133361816,0.004604075422021664,13.3
CatBoost,B,79,"{'depth': 5, 'iterations': 600, 'l2_leaf_reg': 1.016403858869121, 'learning_rate': 0.010815983055225093}",0.822211301430144,0.00814068098160504,0.3823635901925124,0.021745215787715242,0.41555924625669344,0.009841309598841951,0.16417759627926437,0.003455913087234323,97.0
LogReg,C,72,{'C': 0.01},0.8214039150784906,0.008300375777783219,0.37920895865005577,0.02086534703399194,0.40695482027186813,0.005990516793943763,0.17995705735627002,0.004240484308685401,2.0
RandomForest,C,72,"{'max_depth': 14, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'n_estimators': 356}",0.8139689726371451,0.010398820731004637,0.35530226215731076,0.02481571164065728,0.41647588208579756,0.01436948160876183,0.13391644963668195,0.0020940700146075994,38.4
XGBoost,C,72,"{'colsample_bytree': 0.85, 'learning_rate': 0.05362853964441846, 'max_depth': 3, 'n_estimators': 406, 'reg_lambda': 0.7162786999897341, 'subsample': 0.85}",0.8088371252334736,0.010176965143235685,0.3614515086270755,0.0245792733506808,0.41644604037743865,0.012821248517793949,0.1512810230255127,0.003931098280910072,12.9
CatBoost,C,72,"{'depth': 6, 'iterations': 400, 'l2_leaf_reg': 4.050837781329674, 'learning_rate': 0.0178601378893971}",0.8228262542776221,0.00865776668769162,0.3813757146931317,0.026564149138868353,0.4204083466222711,0.01171649186477287,0.1582290810761895,0.003411497593916895,96.5
