threshold,precision,recall,f1,specificity,n_positive_predicted
0.05,0.2043956043956044,0.9465648854961832,0.3361952101220063,0.4694999084081334,3640
0.1,0.25571646341463417,0.8536895674300254,0.3935483870967742,0.6422421688954021,2624
0.15,0.297558494404883,0.7442748091603053,0.4251453488372093,0.7470232643341271,1966
0.2,0.3435792349726776,0.6399491094147582,0.4471111111111111,0.8239604323136106,1464
0.25,0.36433365292425696,0.48346055979643765,0.4155276107162384,0.8785491848323869,1043
0.3,0.4041095890410959,0.3753180661577608,0.3891820580474934,0.9203150760212493,730
0.35,0.4367816091954023,0.2900763358778626,0.3486238532110092,0.9461439824143616,522
0.4,0.46938775510204084,0.20483460559796438,0.28520814880425155,0.9666605605422238,343
0.45,0.5,0.14376590330788805,0.22332015810276679,0.9793002381388533,226
0.5,0.4899328859060403,0.09287531806615776,0.15614973262032086,0.9860780362703792,149
0.55,0.4673913043478261,0.054707379134860054,0.0979498861047836,0.9910239970690603,92
0.6,0.48333333333333334,0.03689567430025445,0.06855791962174941,0.994321304268181,60
0.65,0.4230769230769231,0.013994910941475827,0.027093596059113302,0.9972522440007328,26
0.7,0.5454545454545454,0.007633587786259542,0.015056461731493099,0.9990840813335776,11
0.75,0.5,0.002544529262086514,0.005063291139240506,0.9996336325334311,4
0.8,1.0,0.002544529262086514,0.005076142131979695,1.0,2
0.85,0.0,0.0,0.0,1.0,0
0.9,0.0,0.0,0.0,1.0,0
0.95,0.0,0.0,0.0,1.0,0
